x,y,vx,vy,g
-4.459571e-01,-9.347668e-02,-6.526809e-01,1.036572e+00,-3.882883e-03
-4.428061e-01,-5.134101e-02,2.075732e-01,1.064551e+00,-3.841744e-03
-4.086160e-01,-1.154014e-01,-1.423640e+00,-8.190921e-03,-3.801620e-03
-4.219093e-01,-1.104416e-01,-1.164713e+00,3.534098e-01,-3.762466e-03
-4.417205e-01,-9.441783e-02,-8.097719e-01,7.589488e-01,-3.724243e-03
-4.349084e-01,-5.486784e-02,2.123196e-01,1.004749e+00,-3.686912e-03
-4.100154e-01,-8.856136e-02,-9.123704e-01,1.940758e-01,-3.650437e-03
-4.112681e-01,-1.120698e-01,-1.209172e+00,2.042082e-01,-3.614784e-03
-3.755731e-01,-9.629268e-02,-9.685889e-01,-8.895521e-01,-3.579921e-03
-4.335353e-01,-7.457819e-02,-3.322581e-01,8.254377e-01,-3.545818e-03
-3.549014e-01,-7.416945e-02,-3.789907e-01,-1.379793e+00,-3.512445e-03
-4.287693e-01,-4.844993e-02,4.704000e-01,8.288659e-01,-3.479775e-03
-3.462360e-01,-5.767177e-02,3.187416e-01,-1.839290e+00,-3.447782e-03
-3.999577e-01,-5.977263e-02,1.242706e-01,-1.838669e-02,-3.416442e-03
-3.644664e-01,-1.067342e-01,-1.203999e+00,-1.171080e+00,-3.385732e-03
-3.565682e-01,-7.980116e-02,-5.704887e-01,-1.336573e+00,-3.355629e-03
-3.295502e-01,-6.571964e-02,1.112893e-01,-1.741987e+00,-3.326112e-03
-4.260001e-01,-1.010360e-01,-9.133795e-01,5.083983e-01,-3.297161e-03
-3.656733e-01,-9.188874e-02,-8.207510e-01,-1.251950e+00,-3.268757e-03
-4.209441e-01,-1.385324e-03,1.443544e+00,2.703113e-01,-3.240882e-03
-3.790825e-01,-1.160875e-01,-1.494925e+00,-6.867077e-01,-3.213518e-03
-4.543319e-01,-4.610896e-02,2.411160e-01,1.242962e+00,-3.186649e-03
-3.384133e-01,-6.928855e-02,-9.883448e-03,-1.754430e+00,-3.160259e-03
-3.601118e-01,-9.965659e-02,-9.933183e-01,-1.313347e+00,-3.134333e-03
-3.891246e-01,-1.146616e-01,-1.404181e+00,-2.202008e-01,-3.108855e-03
-4.709135e-01,-5.708746e-02,-3.694215e-02,1.170345e+00,-3.083814e-03
-3.680974e-01,-9.689747e-02,-1.010172e+00,-1.132988e+00,-3.059194e-03
-4.280684e-01,-1.045910e-01,-1.083741e+00,6.461104e-01,-3.034984e-03
-3.437943e-01,-7.305445e-02,-2.517853e-01,-1.677892e+00,-3.011172e-03
-4.253539e-01,-1.215256e-01,-1.231063e+00,3.427600e-01,-2.987745e-03
-4.438411e-01,-7.712636e-02,-4.049621e-01,1.272700e+00,-2.964692e-03
-4.090911e-01,-9.717582e-02,-1.003141e+00,1.989252e-01,-2.942003e-03
-3.214500e-01,-6.889277e-02,-3.385124e-02,-1.713531e+00,-2.919668e-03
-4.312510e-01,-3.637364e-02,8.337689e-01,8.913710e-01,-2.897676e-03
-3.372200e-01,-4.113086e-02,5.302078e-01,-1.738037e+00,-2.876018e-03
-3.611600e-01,-2.985762e-02,9.912224e-01,-1.375292e+00,-2.854685e-03
-3.929389e-01,6.083049e-03,1.472971e+00,-3.544013e-01,-2.833669e-03
-3.819219e-01,-1.076379e-01,-1.256283e+00,-3.139006e-01,-2.812959e-03
-4.122653e-01,-1.040812e-01,-1.103368e+00,2.548955e-01,-2.792549e-03
-4.815160e-01,-7.970313e-02,-1.566818e-01,1.054169e+00,-2.772431e-03
-3.630011e-01,-4.672317e-02,5.342861e-01,-1.298467e+00,-2.752596e-03
-3.347429e-01,-9.991138e-02,-6.327912e-01,-1.419380e+00,-2.733039e-03
-4.034984e-01,-1.042507e-01,-1.212612e+00,7.174523e-03,-2.713751e-03
-3.911657e-01,-2.921080e-02,1.084855e+00,-4.318706e-01,-2.694726e-03
-4.538310e-01,-1.077319e-02,9.408335e-01,6.631223e-01,-2.675957e-03
-3.970697e-01,-8.838703e-02,-7.982396e-01,-1.001917e-01,-2.657438e-03
-3.410100e-01,-8.777091e-02,-6.725310e-01,-1.574061e+00,-2.639163e-03
-4.025764e-01,-9.955847e-02,-1.034706e+00,-3.556859e-02,-2.621126e-03
-4.180489e-01,-1.312100e-02,1.582063e+00,3.622250e-01,-2.603322e-03
-3.845072e-01,-1.120921e-01,-1.390358e+00,-3.652970e-01,-2.585744e-03
-3.409710e-01,-3.754311e-02,7.372109e-01,-1.620538e+00,-2.568388e-03
-3.990002e-01,-1.080788e-01,-1.302496e+00,-1.543726e-01,-2.551248e-03
-3.503757e-01,-9.704443e-02,-8.657406e-01,-1.386448e+00,-2.534319e-03
-4.564018e-01,-1.273473e-01,-8.717058e-01,6.763811e-01,-2.517597e-03
-3.561825e-01,-2.317090e-02,1.130945e+00,-1.511661e+00,-2.501077e-03
-3.470718e-01,-2.431007e-02,9.944411e-01,-1.439724e+00,-2.484754e-03
-3.972238e-01,-9.181194e-02,-1.040999e+00,-6.975573e-02,-2.468624e-03
-4.588445e-01,-3.184027e-02,7.236922e-01,1.094770e+00,-2.452682e-03
-3.554140e-01,-8.509002e-02,-7.772462e-01,-1.396593e+00,-2.436925e-03
-4.347291e-01,-8.680668e-02,-7.497132e-01,8.868792e-01,-2.421349e-03
-3.406324e-01,-2.300863e-02,9.334264e-01,-1.489129e+00,-2.405949e-03
-4.219856e-01,-7.792542e-02,-3.834535e-01,4.943063e-01,-2.390722e-03
-3.414489e-01,-1.189258e-01,-8.738390e-01,-1.139550e+00,-2.375665e-03
-4.588549e-01,-2.350736e-02,8.150507e-01,9.154058e-01,-2.360773e-03
-4.476764e-01,-8.257873e-02,-4.945758e-01,1.208576e+00,-2.346043e-03
-4.754079e-01,-8.461224e-02,-2.925174e-01,9.989231e-01,-2.331473e-03
-4.712129e-01,-5.347200e-02,2.371964e-01,1.191495e+00,-2.317058e-03
-4.001481e-01,-1.991384e-03,1.561054e+00,-1.642365e-01,-2.302795e-03
-2.889247e-01,-5.928226e-02,1.073787e-01,-1.446469e+00,-2.288682e-03
-4.347830e-01,-1.369649e-01,-1.084213e+00,3.493781e-01,-2.274716e-03
-3.781541e-01,-1.437004e-01,-1.188176e+00,-5.263128e-01,-2.260893e-03
-4.243611e-01,-1.513423e-01,-1.069127e+00,1.060970e-01,-2.247211e-03
-3.584938e-01,-1.432680e-01,-1.044138e+00,-7.672994e-01,-2.233667e-03
-4.518408e-01,-1.276895e-01,-9.312616e-01,4.979506e-01,-2.220259e-03
-3.997208e-01,-1.331883e-01,-1.305976e+00,-1.054146e-01,-2.206983e-03
-4.436941e-01,-7.267639e-02,-1.491258e-01,1.274850e+00,-2.193837e-03
-2.989307e-01,-4.520056e-03,5.694461e-01,-1.196086e+00,-2.180819e-03
-4.511066e-01,-1.060422e-01,-8.044103e-01,8.382802e-01,-2.167927e-03
-3.308111e-01,-1.169101e-01,-7.990806e-01,-1.268719e+00,-2.155158e-03
-4.717432e-01,-4.365257e-02,3.500876e-01,1.165008e+00,-2.142509e-03
-4.658710e-01,-1.096662e-01,-6.211390e-01,8.822108e-01,-2.129979e-03
-4.249975e-01,-1.337288e-01,-1.175459e+00,2.042153e-01,-2.117566e-03
-3.169191e-01,-1.731819e-02,6.007046e-01,-1.292531e+00,-2.105267e-03
-3.407174e-01,-1.225773e-01,-1.052364e+00,-1.124958e+00,-2.093080e-03
-3.938276e-01,-1.400562e-01,-1.292132e+00,-2.734587e-01,-2.081003e-03
-4.666425e-01,-9.256985e-02,-4.451235e-01,9.984480e-01,-2.069035e-03
-4.487634e-01,7.223897e-02,9.095642e-01,2.435595e-01,-2.057173e-03
-4.603338e-01,-1.129821e-01,-7.522555e-01,7.736558e-01,-2.045416e-03
-3.212734e-01,-9.988701e-02,-5.294467e-01,-1.475208e+00,-2.033761e-03
-2.934322e-01,-6.097768e-02,4.455685e-02,-1.359166e+00,-2.022207e-03
-3.775674e-01,-1.243354e-01,-1.404434e+00,-6.861275e-01,-2.010753e-03
-4.571796e-01,-6.089476e-02,-6.166754e-02,1.216892e+00,-1.999396e-03
-3.527037e-01,2.426351e-02,9.750875e-01,-7.149335e-01,-1.988135e-03
-4.498869e-01,-9.631132e-02,-7.439760e-01,1.087148e+00,-1.976969e-03
-3.412801e-01,2.758793e-02,9.641679e-01,-7.997213e-01,-1.965895e-03
-4.127008e-01,4.156848e-02,1.003186e+00,-1.492718e-01,-1.954912e-03
-3.055021e-01,-4.677491e-02,2.952261e-01,-1.456450e+00,-1.944019e-03
-4.274444e-01,-1.132033e-01,-1.173651e+00,5.368382e-01,-1.933214e-03
-3.205978e-01,1.424124e-02,8.051138e-01,-1.004371e+00,-1.922497e-03
-4.408194e-01,-1.131592e-01,-9.066158e-01,6.486470e-01,-1.911864e-03
-3.200450e-01,-1.135634e-01,-6.532638e-01,-1.336922e+00,-1.901316e-03
-3.120331e-01,-6.732476e-02,2.934138e-03,-1.622882e+00,-1.890850e-03
-3.941907e-01,-1.282208e-01,-1.322262e+00,-2.327557e-01,-1.880465e-03
-4.093188e-01,3.817808e-02,9.989847e-01,-2.294828e-01,-1.870161e-03
-4.303862e-01,6.246951e-02,1.043111e+00,-1.618755e-01,-1.859936e-03
-4.148182e-01,4.600747e-02,1.051386e+00,-1.831624e-01,-1.849788e-03
-3.152178e-01,-7.309051e-03,6.712655e-01,-1.140353e+00,-1.839716e-03
-3.467345e-01,-1.157344e-01,-9.383575e-01,-1.076415e+00,-1.829720e-03
-3.874099e-01,-1.266319e-01,-1.374293e+00,-4.127203e-01,-1.819798e-03
-3.115830e-01,-5.034202e-03,7.088546e-01,-1.224024e+00,-1.809949e-03
-4.360392e-01,6.105872e-02,9.142170e-01,2.690750e-01,-1.800172e-03
-4.191525e-01,4.728233e-02,9.669967e-01,-6.257875e-02,-1.790465e-03
-3.186136e-01,-8.623327e-02,-3.546355e-01,-1.584538e+00,-1.780829e-03
-3.343835e-01,-1.041528e-01,-8.042512e-01,-1.376436e+00,-1.771261e-03
-4.262591e-01,5.232076e-02,8.982020e-01,1.006274e-01,-1.761760e-03
-4.328999e-01,6.278321e-02,1.084525e+00,8.862865e-02,-1.752326e-03
-4.330348e-01,5.905149e-02,8.010423e-01,8.031102e-02,-1.742959e-03
-4.880332e-01,5.817810e-02,7.319925e-01,3.561628e-01,-1.733655e-03
-3.525174e-01,2.833503e-02,1.107919e+00,-6.914451e-01,-1.724416e-03
-4.223517e-01,5.038150e-02,9.631175e-01,-5.592477e-02,-1.715239e-03
-5.228582e-01,-7.775366e-03,3.597887e-01,8.727206e-01,-1.706125e-03
-3.346861e-01,2.687473e-02,9.085220e-01,-8.994348e-01,-1.697071e-03
-4.410060e-01,-1.162795e-01,-1.088061e+00,6.215223e-01,-1.688078e-03
-3.827253e-01,3.292799e-02,1.148330e+00,-4.370289e-01,-1.679145e-03
-4.246878e-01,5.502507e-02,1.082591e+00,-8.204813e-02,-1.670269e-03
-4.921812e-01,-4.209561e-03,4.964055e-01,7.013692e-01,-1.661452e-03
-4.401288e-01,6.855800e-02,9.428062e-01,1.014411e-01,-1.652691e-03
-4.828763e-01,-6.598654e-04,8.704975e-01,6.677713e-01,-1.643987e-03
-4.433698e-01,7.172964e-02,9.752917e-01,1.347235e-01,-1.635338e-03
-5.125877e-01,-6.400088e-04,6.646685e-01,8.395828e-01,-1.626744e-03
-4.940998e-01,-7.636968e-04,7.508377e-01,7.706123e-01,-1.618204e-03
-4.634356e-01,-1.187682e-03,8.953195e-01,6.283395e-01,-1.609716e-03
-5.052301e-01,-2.927369e-03,6.120763e-01,8.455386e-01,-1.601282e-03
-5.147103e-01,-4.349773e-03,4.610387e-01,8.866710e-01,-1.592899e-03
-4.497138e-01,3.052523e-03,1.075789e+00,4.650431e-01,-1.584567e-03
-5.154992e-01,-7.965349e-03,2.800188e-01,8.610844e-01,-1.576285e-03
-4.873507e-01,-3.520222e-03,5.896872e-01,6.981284e-01,-1.568053e-03
-4.985759e-01,-7.465670e-03,3.073560e-01,8.004704e-01,-1.559870e-03
-4.825723e-01,-5.436169e-03,4.503497e-01,7.077442e-01,-1.551736e-03
-4.766188e-01,-5.155461e-03,6.178483e-01,5.803626e-01,-1.543649e-03
-5.136030e-01,-1.266196e-01,-3.204362e-01,2.816208e-01,-1.535610e-03
-5.102303e-01,-3.209519e-03,4.833581e-01,7.794990e-01,-1.527617e-03
-4.905039e-01,5.301089e-04,8.321587e-01,6.539063e-01,-1.519670e-03
-4.780359e-01,-1.035741e-04,8.854200e-01,5.295297e-01,-1.511769e-03
-5.265718e-01,-1.427436e-01,-6.605798e-01,3.816307e-01,-1.503912e-03
-4.813932e-01,-3.309983e-03,6.795625e-01,5.880552e-01,-1.496099e-03
-5.278721e-01,-1.337183e-01,-3.121928e-01,6.081521e-01,-1.488330e-03
-5.017700e-01,-2.757641e-03,6.450507e-01,7.101219e-01,-1.480605e-03
-5.216560e-01,-1.351095e-01,-4.981396e-01,3.231182e-01,-1.472921e-03
-4.967368e-01,-5.349349e-03,4.992269e-01,7.246039e-01,-1.465280e-03
-4.601226e-01,-2.491538e-04,9.742553e-01,5.034008e-01,-1.457681e-03
-5.332517e-01,-1.468881e-01,-7.559853e-01,6.161083e-01,-1.450122e-03
-5.038954e-01,-5.235861e-03,3.467461e-01,8.033128e-01,-1.442604e-03
-5.338919e-01,-1.397234e-01,-4.550467e-01,7.667387e-01,-1.435126e-03
-5.348202e-01,-1.312026e-01,-9.336633e-02,8.679400e-01,-1.427688e-03
-5.413689e-01,-1.339676e-01,-2.072618e-01,9.526902e-01,-1.420288e-03
-5.208171e-01,-1.229935e-01,-6.916491e-02,6.012420e-01,-1.412927e-03
-5.164780e-01,-1.322849e-01,-4.985572e-01,2.926013e-01,-1.405604e-03
-5.304167e-01,-1.401927e-01,-5.423293e-01,5.737313e-01,-1.398319e-03
-4.713978e-01,-3.398232e-03,7.788943e-01,5.673816e-01,-1.391071e-03
-5.269462e-01,-1.366042e-01,-5.107249e-01,5.251817e-01,-1.383860e-03
-5.176541e-01,-1.270826e-01,-3.424225e-01,3.574029e-01,-1.376685e-03
-5.257113e-01,-1.273173e-01,-1.548668e-01,6.714739e-01,-1.369546e-03
-5.300576e-01,-1.295701e-01,-1.638340e-01,7.499248e-01,-1.362443e-03
-5.234323e-01,-1.375660e-01,-6.197712e-01,3.716770e-01,-1.355374e-03
-4.162842e-01,-2.562103e-01,-5.786064e-01,-3.963889e-01,-1.348340e-03
-5.158400e-01,-1.148363e-01,-1.083628e-02,5.919222e-01,-1.341340e-03
-5.393294e-01,-1.368093e-01,-3.701995e-01,8.958412e-01,-1.334375e-03
-5.341372e-01,-1.433755e-01,-6.072690e-01,6.909999e-01,-1.327442e-03
-5.142724e-01,-1.180036e-01,-1.460568e-01,4.627895e-01,-1.320543e-03
-5.205921e-01,-1.202669e-01,5.419248e-02,6.063323e-01,-1.313676e-03
-5.230885e-01,-1.313556e-01,-3.599272e-01,4.765205e-01,-1.306842e-03
-5.191352e-01,-1.250171e-01,-1.782803e-01,4.504529e-01,-1.300040e-03
-5.270468e-01,-1.234072e-01,2.963881e-02,7.415435e-01,-1.293269e-03
-5.403345e-01,-1.454303e-01,-5.802901e-01,8.496706e-01,-1.286529e-03
-5.319428e-01,-1.351921e-01,-3.555487e-01,7.171175e-01,-1.279820e-03
-5.308795e-01,-1.256227e-01,-1.403700e-02,8.420935e-01,-1.273142e-03
-4.466928e-01,-2.676615e-01,-7.571246e-01,3.155551e-01,-1.266494e-03
-4.292553e-01,-2.575866e-01,-4.798253e-01,1.357550e-02,-1.259876e-03
-5.288036e-01,-1.450917e-01,-7.510611e-01,4.844598e-01,-1.253287e-03
-5.350596e-01,-1.337603e-01,-2.925288e-01,8.672844e-01,-1.246727e-03
-4.311989e-01,-2.678044e-01,-9.329124e-01,-3.604002e-02,-1.240197e-03
-4.269526e-01,-2.537741e-01,-3.729053e-01,-7.588669e-03,-1.233694e-03
-4.319188e-01,-2.618385e-01,-6.146089e-01,7.145487e-03,-1.227220e-03
-4.126890e-01,-2.572745e-01,-6.570492e-01,-5.526106e-01,-1.220774e-03
-5.225795e-01,-1.277694e-01,-2.352092e-01,5.170720e-01,-1.214356e-03
-4.223611e-01,-2.531545e-01,-3.811164e-01,-2.041715e-01,-1.207965e-03
-5.376537e-01,-1.435591e-01,-5.384592e-01,8.178256e-01,-1.201600e-03
-4.390363e-01,-2.675485e-01,-8.733247e-01,1.281539e-01,-1.195263e-03
-4.445066e-01,-2.605298e-01,-4.811418e-01,3.875215e-01,-1.188952e-03
-4.238009e-01,-2.641092e-01,-7.907758e-01,-1.971962e-01,-1.182667e-03
-4.385583e-01,-2.617974e-01,-6.589010e-01,1.722966e-01,-1.176408e-03
-4.346737e-01,-2.665957e-01,-8.825644e-01,9.226843e-02,-1.170174e-03
-4.168250e-01,-2.597270e-01,-7.844018e-01,-4.257328e-01,-1.163966e-03
-4.265979e-01,-2.588590e-01,-5.986357e-01,-1.576797e-01,-1.157783e-03
-4.195078e-01,-2.581643e-01,-6.876691e-01,-2.712276e-01,-1.151624e-03
-4.086715e-01,-2.479002e-01,-4.064847e-01,-4.825037e-01,-1.145490e-03
-4.218321e-01,-2.677438e-01,-9.152543e-01,-3.029300e-01,-1.139381e-03
-4.215804e-01,-2.638772e-01,-7.731076e-01,-3.735130e-01,-1.133295e-03
-4.419441e-01,-2.668709e-01,-8.131220e-01,2.393603e-01,-1.127233e-03
-4.195603e-01,-2.486828e-01,-2.790822e-01,-2.588638e-01,-1.121195e-03
-4.278610e-01,-2.703431e-01,-9.593505e-01,-1.409552e-01,-1.115180e-03
-4.147685e-01,-2.542943e-01,-4.367827e-01,-4.659946e-01,-1.109187e-03
-4.338544e-01,-2.634992e-01,-7.274833e-01,1.006681e-01,-1.103218e-03
-4.288782e-01,-2.644854e-01,-8.607858e-01,-1.053641e-01,-1.097271e-03
-4.237385e-01,-2.553647e-01,-5.334282e-01,-1.401839e-01,-1.091346e-03
-4.283080e-01,-2.626510e-01,-6.648164e-01,-1.463492e-01,-1.085444e-03
-4.142544e-01,-2.486863e-01,-3.283801e-01,-3.286510e-01,-1.079563e-03
-4.225994e-01,-2.505844e-01,-2.298022e-01,-1.400266e-01,-1.073704e-03
-4.317726e-01,-2.494218e-01,-1.735184e-01,1.132320e-01,-1.067866e-03
-4.443335e-01,-2.634441e-01,-6.889972e-01,3.365682e-01,-1.062049e-03
-4.198229e-01,-2.554000e-01,-4.858001e-01,-2.842609e-01,-1.056254e-03
-4.315815e-01,-2.527091e-01,-2.961073e-01,9.166808e-02,-1.050479e-03
-4.476736e-01,-2.603596e-01,-4.687266e-01,4.630462e-01,-1.044724e-03
-4.117759e-01,-2.502201e-01,-4.536846e-01,-4.640754e-01,-1.038990e-03
-4.126297e-01,-2.437509e-01,-2.779123e-01,-3.194690e-01,-1.033276e-03
-4.419541e-01,-2.608856e-01,-5.566952e-01,2.479522e-01,-1.027582e-03
-4.505733e-01,-2.750510e-01,-7.886707e-01,2.415278e-01,-1.021908e-03
-4.344096e-01,-2.583321e-01,-4.589440e-01,8.132714e-02,-1.016253e-03
-4.430006e-01,-2.564204e-01,-2.978795e-01,4.010991e-01,-1.010617e-03
-4.511249e-01,-2.639956e-01,-5.859304e-01,4.283768e-01,-1.005001e-03
-4.263649e-01,-2.507006e-01,-1.987931e-01,-5.387017e-03,-9.994031e-04
-4.205888e-01,-2.462464e-01,-1.536596e-01,-1.475766e-01,-9.938243e-04
-3.247620e-01,-3.258908e-01,-5.923017e-01,-3.385841e-01,-9.882640e-04
-4.506836e-01,-2.714373e-01,-7.107554e-01,3.085360e-01,-9.827220e-04
-3.236620e-01,-3.230112e-01,-4.534841e-01,-3.980160e-01,-9.771983e-04
-4.376713e-01,-2.590003e-01,-4.869158e-01,1.537580e-01,-9.716925e-04
-3.291027e-01,-3.272098e-01,-7.068064e-01,-1.781873e-01,-9.662045e-04
-4.409258e-01,-2.566974e-01,-3.275854e-01,2.763955e-01,-9.607342e-04
-4.386668e-01,-2.564595e-01,-2.974587e-01,1.814367e-01,-9.552814e-04
-3.329432e-01,-3.203245e-01,-4.491989e-01,-1.247719e-01,-9.498458e-04
-3.267786e-01,-3.207528e-01,-3.999055e-01,-3.128959e-01,-9.444274e-04
-3.272162e-01,-3.300624e-01,-7.638681e-01,-2.438267e-01,-9.390259e-04
-4.347397e-01,-2.541641e-01,-2.917159e-01,1.683293e-01,-9.336412e-04
-3.307781e-01,-3.226679e-01,-4.736487e-01,-1.813076e-01,-9.282731e-04
-3.154555e-01,-3.211539e-01,-2.687477e-01,-6.190820e-01,-9.229215e-04
-3.315647e-01,-3.248781e-01,-6.333626e-01,-8.640001e-02,-9.175861e-04
-3.180882e-01,-3.216802e-01,-3.263743e-01,-5.125590e-01,-9.122669e-04
-3.211208e-01,-3.209083e-01,-3.323373e-01,-4.792947e-01,-9.069637e-04
-3.128139e-01,-3.267970e-01,-5.144256e-01,-6.724816e-01,-9.016763e-04
-3.148412e-01,-3.301525e-01,-6.929298e-01,-5.423515e-01,-8.964046e-04
-3.285741e-01,-3.186822e-01,-2.647676e-01,-2.708741e-01,-8.911484e-04
-3.249974e-01,-3.188435e-01,-2.565847e-01,-4.038934e-01,-8.859075e-04
-3.354144e-01,-3.172017e-01,-3.225469e-01,-7.444927e-02,-8.806818e-04
-3.232127e-01,-3.286744e-01,-7.036931e-01,-3.536091e-01,-8.754713e-04
-3.323268e-01,-3.180242e-01,-2.864917e-01,-2.140823e-01,-8.702756e-04
-3.295873e-01,-3.143348e-01,-1.162420e-01,-3.350091e-01,-8.650947e-04
-3.191218e-01,-3.265155e-01,-5.728652e-01,-4.211953e-01,-8.599284e-04
-3.172408e-01,-3.252772e-01,-4.714683e-01,-5.263047e-01,-8.547766e-04
-3.370161e-01,-3.208447e-01,-4.834564e-01,-5.595588e-02,-8.496392e-04
-3.082261e-01,-3.227274e-01,-3.613516e-01,-6.656015e-01,-8.445160e-04
-3.115650e-01,-3.189275e-01,-2.239836e-01,-6.528229e-01,-8.394068e-04
-3.216567e-01,-3.182749e-01,-1.704743e-01,-5.107065e-01,-8.343116e-04
-3.359770e-01,-3.129679e-01,-1.521754e-01,-1.082004e-01,-8.292302e-04
-3.337552e-01,-3.146429e-01,-2.240249e-01,-2.078037e-01,-8.241624e-04
-3.155980e-01,-3.277048e-01,-5.899369e-01,-5.402978e-01,-8.191082e-04
-3.431755e-01,-3.150644e-01,-3.371789e-01,-6.522625e-02,-8.140674e-04
-3.455042e-01,-3.229109e-01,-5.008727e-01,-4.107357e-02,-8.090398e-04
-3.283326e-01,-3.248520e-01,-5.512588e-01,-2.618314e-01,-8.040254e-04
-3.142234e-01,-3.236186e-01,-3.970456e-01,-6.536547e-01,-7.990241e-04
-3.248663e-01,-3.160627e-01,-1.477418e-01,-3.978639e-01,-7.940356e-04
