x,y,vx,vy,g
-4.158107e-01,-3.553671e-02,8.678725e-01,3.549686e-01,-4.468781e-02
-3.758236e-01,-2.755152e-02,1.144521e+00,-8.197192e-01,-2.576176e-02
-3.851648e-01,-5.508784e-02,2.871787e-01,-5.987365e-01,-1.992492e-02
-4.232362e-01,-8.551251e-02,-7.862163e-01,5.598134e-01,-1.681421e-02
-3.942039e-01,-6.687892e-02,-1.721958e-01,-2.771235e-01,-1.480631e-02
-4.087637e-01,-7.243594e-02,-3.274918e-01,1.738125e-01,-1.337250e-02
-3.765966e-01,-1.066762e-01,-1.227432e+00,-8.560788e-01,-1.228221e-02
-3.690974e-01,-8.145958e-02,-5.396192e-01,-1.106866e+00,-1.141669e-02
-3.807906e-01,-7.277245e-02,-2.751261e-01,-7.049643e-01,-1.070774e-02
-3.687179e-01,-5.876584e-02,1.206515e-01,-1.070200e+00,-1.011300e-02
-3.718223e-01,-4.740382e-02,5.241423e-01,-9.507257e-01,-9.604619e-03
-3.554773e-01,-5.305183e-02,4.147426e-01,-1.454825e+00,-9.163414e-03
-3.522396e-01,-4.185682e-02,7.162795e-01,-1.576725e+00,-8.775686e-03
-3.658293e-01,-3.797160e-02,7.956246e-01,-1.216285e+00,-8.431356e-03
-4.123629e-01,-1.783711e-02,1.483436e+00,1.441895e-01,-8.122822e-03
-4.536917e-01,-3.974445e-02,6.000192e-01,1.155300e+00,-7.844225e-03
-3.998021e-01,-4.272562e-02,6.752708e-01,-2.198522e-01,-7.590971e-03
-3.996592e-01,-2.403871e-02,1.253874e+00,-1.716256e-01,-7.359393e-03
-3.999119e-01,-5.175850e-02,3.545843e-01,-1.179373e-01,-7.146531e-03
-4.395161e-01,-4.212489e-02,5.876453e-01,9.099222e-01,-6.949960e-03
-3.981227e-01,-1.470399e-02,1.590127e+00,-1.996429e-01,-6.767674e-03
-4.382851e-01,-6.665521e-02,-5.627067e-02,1.084849e+00,-6.598000e-03
-3.854649e-01,-4.109143e-02,7.454952e-01,-5.534902e-01,-6.439523e-03
-4.249828e-01,-1.844887e-02,1.353150e+00,6.333742e-01,-6.291046e-03
-4.246038e-01,-7.131840e-02,-2.713594e-01,6.436061e-01,-6.151540e-03
-4.285593e-01,-6.024743e-02,3.777373e-02,8.519403e-01,-6.020121e-03
-4.120664e-01,-6.297990e-02,3.491664e-02,2.669604e-01,-5.896022e-03
-4.238977e-01,-5.362169e-02,2.972519e-01,5.840885e-01,-5.778574e-03
-4.112064e-01,-5.282579e-02,2.631016e-01,2.259844e-01,-5.667191e-03
-3.895010e-01,-9.798366e-02,-1.107852e+00,-2.482926e-01,-5.561358e-03
-4.384307e-01,-7.778075e-02,-4.974068e-01,9.997002e-01,-5.460618e-03
-4.219079e-01,-6.251798e-02,-3.298312e-02,5.006668e-01,-5.364565e-03
-3.334675e-01,-7.627268e-02,-3.202711e-01,-1.744589e+00,-5.272838e-03
-3.460440e-01,-8.058940e-02,-5.602688e-01,-1.567321e+00,-5.185114e-03
-3.890543e-01,-8.894344e-02,-7.855656e-01,-3.793373e-01,-5.101102e-03
-4.078661e-01,-8.128785e-02,-7.200405e-01,1.364238e-01,-5.020540e-03
-3.797666e-01,-8.301742e-02,-5.963292e-01,-6.441140e-01,-4.943192e-03
-3.821901e-01,-9.625567e-02,-9.683882e-01,-5.508689e-01,-4.868843e-03
-3.697113e-01,-6.955213e-02,-1.800389e-01,-1.038364e+00,-4.797298e-03
-3.760716e-01,-8.914570e-02,-7.913578e-01,-8.306701e-01,-4.728380e-03
-3.985281e-01,-8.171551e-02,-6.357810e-01,-1.029387e-01,-4.661927e-03
-3.913919e-01,-7.904824e-02,-5.351809e-01,-3.678658e-01,-4.597791e-03
-3.507632e-01,-6.944196e-02,-2.092802e-01,-1.547020e+00,-4.535835e-03
-3.534793e-01,-5.970457e-02,1.330007e-01,-1.459688e+00,-4.475934e-03
-3.497642e-01,-6.411921e-02,4.358481e-02,-1.663727e+00,-4.417973e-03
-3.600970e-01,-6.893888e-02,-1.559694e-01,-1.230013e+00,-4.361845e-03
-3.604299e-01,-2.210902e-02,1.226671e+00,-1.299266e+00,-4.307452e-03
-3.642091e-01,-1.891510e-02,1.480802e+00,-1.077068e+00,-4.254703e-03
-3.792960e-01,-1.257583e-02,1.619769e+00,-7.389755e-01,-4.203514e-03
-3.875992e-01,-1.615339e-02,1.614632e+00,-5.125581e-01,-4.153805e-03
-3.948823e-01,-3.408133e-02,9.219834e-01,-3.260168e-01,-4.105504e-03
-3.889379e-01,-2.097019e-02,1.301519e+00,-4.322350e-01,-4.058543e-03
-4.358498e-01,-2.650895e-02,1.092070e+00,8.540781e-01,-4.012858e-03
-4.457195e-01,-3.776529e-02,7.908328e-01,9.772009e-01,-3.968389e-03
-4.508129e-01,-5.198645e-02,9.856490e-02,1.185851e+00,-3.925082e-03
