1    1.549050e-01
4    5.540800e-02
4    5.540300e-02
4    1.911950e-01
4    1.246000e-01
4    1.113620e-01
4    1.442560e-01
4    1.273150e-01
4    1.336520e-01
4    5.574320e-01
4    1.754029e+01
4    4.307208e+00
4    5.063184e+00
4    4.957989e+00
4    6.210054e+00
8    2.537411e+01
8    3.017525e+01
8    8.229292e+00
8    5.112445e+00
8    5.817479e+00
1    2.085018e+01
2    2.108004e+01
3    2.128295e+01
5    4.567238e+01
8    5.325627e+01
10    7.857824e+01
4    2.566563e+01
5    4.557485e+01
